method,scenario,dr_mean,asr_mean,asr_ci,frr_mean,frr_ci,lat_mean,lat_ci,trials
No Validation,desync_attack,0.0,100.0,0.0,0.0,0.0,0.18513999093556777,0.0063611353841829,1000
Nonce-Only,desync_attack,3.3,96.7,1.1077545288086599,1.8111111111111118,0.27597831777829146,0.27685996901709586,0.006549598437223366,1000
Counter-Only,desync_attack,100.0,0.0,0.0,0.0,0.0,0.27507994236657396,0.0052835159430220865,1000
Hybrid,desync_attack,100.0,0.0,0.0,1.8111111111111118,0.27597831777829146,0.3645999837317504,0.008209520042607709,1000
