method,scenario,dr_mean,asr_mean,asr_ci,frr_mean,frr_ci,lat_mean,lat_ci,trials
Hybrid,no_attack,,,,1.9599999999999997,0.26857848730649264,0.3530300164129585,0.004148632022981647,1000
Hybrid,delayed_replay,100.0,0.0,0.0,1.9599999999999997,0.26857848730649264,0.36370913916140457,0.009682394800875838,1000
Hybrid,multiple_replay,100.0,0.0,0.0,1.9599999999999997,0.26857848730649264,0.33726667364438373,0.0072033922303418535,1000
Hybrid,out_of_order,100.0,0.0,0.0,1.9599999999999997,0.26857848730649264,0.3283750054833945,0.005292115062488813,1000
Hybrid,counter_skip,100.0,0.0,0.0,1.9599999999999997,0.26857848730649264,0.36545464800755406,0.009223396404466244,1000
Hybrid,reset_attack,99.61,0.39,0.12321296228106064,1.9599999999999997,0.26857848730649264,0.33801003301050514,0.00828580716306541,1000
Hybrid,desync_attack,100.0,0.0,0.0,1.8111111111111118,0.27597831777829146,0.3645999837317504,0.008209520042607709,1000
Hybrid,counter_rollback,100.0,0.0,0.0,1.9599999999999997,0.26857848730649264,0.32147498641279526,0.006609773577113961,1000
