nonce_bits,nonce_space,nonce_only_frr,counter_only_frr,hybrid_frr
6,64,6.879999999999999,0.0,6.879999999999999
8,256,1.9599999999999997,0.0,1.9599999999999997
10,1024,0.4799999999999999,0.0,0.4799999999999999
12,4096,0.11999999999999998,0.0,0.11999999999999998
14,16384,0.039999999999999994,0.0,0.039999999999999994
16,65536,0.009999999999999998,0.0,0.009999999999999998
