method,scenario,dr_mean,asr_mean,asr_ci,frr_mean,frr_ci,lat_mean,lat_ci,trials
Nonce-Only,no_attack,,,,1.9599999999999997,0.26857848730649264,0.27640999032882974,0.00554316874539763,1000
Nonce-Only,delayed_replay,100.0,0.0,0.0,1.9599999999999997,0.26857848730649264,0.2696181763894856,0.003950825781905831,1000
Nonce-Only,multiple_replay,100.0,0.0,0.0,1.9599999999999997,0.26857848730649264,0.26518002947947633,0.00387534497755105,1000
Nonce-Only,out_of_order,100.0,0.0,0.0,1.9599999999999997,0.26857848730649264,0.25757004113984294,0.0035114112114459084,1000
Nonce-Only,counter_skip,100.0,0.0,0.0,1.9599999999999997,0.26857848730649264,0.30383637799373403,0.009157475161133598,1000
Nonce-Only,reset_attack,1.9599999999999997,98.04,0.2685784873064927,1.9599999999999997,0.26857848730649264,0.27446001186035573,0.004464757586845918,1000
Nonce-Only,desync_attack,3.3,96.7,1.1077545288086599,1.8111111111111118,0.27597831777829146,0.27685996901709586,0.006549598437223366,1000
Nonce-Only,counter_rollback,100.0,0.0,0.0,1.9599999999999997,0.26857848730649264,0.26146498566959053,0.005168527636069037,1000
