method,scenario,dr_mean,asr_mean,asr_ci,frr_mean,frr_ci,lat_mean,lat_ci,trials
No Validation,reset_attack,0.0,100.0,0.0,0.0,0.0,0.19011999611393549,0.004299528241407567,1000
Nonce-Only,reset_attack,1.9599999999999997,98.04,0.2685784873064927,1.9599999999999997,0.26857848730649264,0.27446001186035573,0.004464757586845918,1000
Counter-Only,reset_attack,100.0,0.0,0.0,0.0,0.0,0.2719549920584541,0.006416466743805544,1000
Hybrid,reset_attack,99.61,0.39,0.12321296228106064,1.9599999999999997,0.26857848730649264,0.33801003301050514,0.00828580716306541,1000
