method,scenario,dr_mean,asr_mean,asr_ci,frr_mean,frr_ci,lat_mean,lat_ci,trials
No Validation,counter_rollback,0.0,100.0,0.0,0.0,0.0,0.18465001485310495,0.003869811645332501,1000
Nonce-Only,counter_rollback,100.0,0.0,0.0,1.9599999999999997,0.26857848730649264,0.26146498566959053,0.005168527636069037,1000
Counter-Only,counter_rollback,0.0,100.0,0.0,0.0,0.0,0.2806700111250393,0.008522936735930816,1000
Hybrid,counter_rollback,100.0,0.0,0.0,1.9599999999999997,0.26857848730649264,0.32147498641279526,0.006609773577113961,1000
