method,scenario,dr_mean,asr_mean,asr_ci,frr_mean,frr_ci,lat_mean,lat_ci,trials
Counter-Only,no_attack,,,,0.0,0.0,0.27355995698599145,0.003740142564213111,1000
Counter-Only,delayed_replay,100.0,0.0,0.0,0.0,0.0,0.2714089787332341,0.005811078394624519,1000
Counter-Only,multiple_replay,100.0,0.0,0.0,0.0,0.0,0.2647066585874806,0.0032055625841893014,1000
Counter-Only,out_of_order,100.0,0.0,0.0,0.0,0.0,0.2603349945275113,0.004742176993665279,1000
Counter-Only,counter_skip,100.0,0.0,0.0,0.0,0.0,0.274527226627635,0.006877165562054634,1000
Counter-Only,reset_attack,100.0,0.0,0.0,0.0,0.0,0.2719549920584541,0.006416466743805544,1000
Counter-Only,desync_attack,100.0,0.0,0.0,0.0,0.0,0.27507994236657396,0.0052835159430220865,1000
Counter-Only,counter_rollback,0.0,100.0,0.0,0.0,0.0,0.2806700111250393,0.008522936735930816,1000
